nama_kabupaten_kota,tahun,jumlah_produksi_sampah
KABUPATEN BOGOR,2017,1511.15
KABUPATEN SUKABUMI,2017,419.01
KABUPATEN CIANJUR,2017,981.41
KABUPATEN BANDUNG,2017,1895.94
KABUPATEN GARUT,2017,464.74
KABUPATEN TASIKMALAYA,2017,464.52
KABUPATEN CIAMIS,2017,260.91
KABUPATEN KUNINGAN,2017,251.7
KABUPATEN CIREBON,2017,465.75
KABUPATEN MAJALENGKA,2017,254.63
KABUPATEN SUMEDANG,2017,237.96
KABUPATEN INDRAMAYU,2017,613.18
KABUPATEN SUBANG,2017,487.26
KABUPATEN PURWAKARTA,2017,308.96
KABUPATEN KARAWANG,2017,869.86
KABUPATEN BEKASI,2017,1228.6
KABUPATEN BANDUNG BARAT,2017,616.08
KABUPATEN PANGANDARAN,2017,185.83
KOTA BOGOR,2017,991.93
KOTA SUKABUMI,2017,309.91
KOTA BANDUNG,2017,2448.63
KOTA CIREBON,2017,304.15
KOTA BEKASI,2017,2387.08
KOTA DEPOK,2017,1844.3
KOTA CIMAHI,2017,563.21
KOTA TASIKMALAYA,2017,472.36
KOTA BANJAR,2017,130.21
